answer_id,question_id,loc,code_sinippet
7,4,2,646f75626c65207472616e73203d20747261636b426172312e56616c7565202f20353030302e303b0a646f75626c65207472616e73203d20747261636b426172312e56616c7565202f2035303030643b0a
98,88,1,67657474696d656f666461792829
77,42,3,54686973206973206d79204352415a59206170706c69636174696f6e0a34202b2035203d20390a34202a2035203d2032300a
98,88,1,636c6f636b5f67657474696d6528434c4f434b5f4d4f4e4f544f4e494329
7,4,1,353030302e30
45,39,1,436f6e736f6c652e526561644c696e652829
98,88,1,636c6f636b5f6765747265732829
7,4,1,3530303064
7,4,1,646f75626c65
77,42,64,3c3f7068700a0a2f2a2a20506c7567696e2073797374656d202a2a2f0a0a246c697374656e657273203d20617272617928293b0a0a2f2a2043726561746520616e20656e74727920706f696e7420666f7220706c7567696e73202a2f0a66756e6374696f6e20686f6f6b2829207b0a20202020676c6f62616c20246c697374656e6572733b0a0a20202020246e756d5f61726773203d2066756e635f6e756d5f6172677328293b0a202020202461726773203d2066756e635f6765745f6172677328293b0a0a20202020696628246e756d5f61726773203c2032290a2020202020202020747269676765725f6572726f722822496e73756666696369656e7420617267756d656e7473222c20455f555345525f4552524f52293b0a0a202020202f2f20486f6f6b206e616d652073686f756c6420616c7761797320626520666972737420617267756d656e740a2020202024686f6f6b5f6e616d65203d2061727261795f7368696674282461726773293b0a0a2020202069662821697373657428246c697374656e6572735b24686f6f6b5f6e616d655d29290a202020202020202072657475726e3b202f2f204e6f20706c7567696e7320686176652072656769737465726564207468697320686f6f6b0a0a20202020666f726561636828246c697374656e6572735b24686f6f6b5f6e616d655d206173202466756e6329207b0a20202020202020202461726773203d202466756e63282461726773293b200a202020207d0a2020202072657475726e2024617267733b0a7d0a0a2f2a2041747461636820612066756e6374696f6e20746f206120686f6f6b202a2f0a66756e6374696f6e206164645f6c697374656e65722824686f6f6b2c202466756e6374696f6e5f6e616d6529207b0a20202020676c6f62616c20246c697374656e6572733b0a20202020246c697374656e6572735b24686f6f6b5d5b5d203d202466756e6374696f6e5f6e616d653b0a7d0a0a2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f0a0a2f2a2a2053616d706c6520506c7567696e202a2a2f0a6164645f6c697374656e65722827615f62272c20276d795f706c7567696e5f66756e633127293b0a6164645f6c697374656e65722827737472272c20276d795f706c7567696e5f66756e633227293b0a0a66756e6374696f6e206d795f706c7567696e5f66756e633128246172677329207b0a2020202072657475726e20617272617928342c2035293b0a7d0a0a66756e6374696f6e206d795f706c7567696e5f66756e633228246172677329207b0a2020202072657475726e207374725f7265706c616365282773616d706c65272c20274352415a59272c2024617267735b305d293b0a7d0a0a2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f0a0a2f2a2a2053616d706c65204170706c69636174696f6e202a2a2f0a0a2461203d20313b0a2462203d20323b0a0a6c6973742824612c20246229203d20686f6f6b2827615f62272c2024612c202462293b0a0a2473747220203d202254686973206973206d792073616d706c65206170706c69636174696f6e5c6e223b0a24737472202e3d20222461202b202462203d20222e2824612b2462292e225c6e223b0a24737472202e3d20222461202a202462203d20222e2824612a2462292e225c6e223b0a0a24737472203d20686f6f6b2827737472272c2024737472293b0a6563686f20247374723b0a3f3e0a
